sample	condition	subtype	gene	raw_count	detected	log2CPM_TMM	log2CPM_library	subset_definition
BPD 2	BPD	aCap	CDKN1A	0	False	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	COL18A1	0	False	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	ECM1	0	False	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	GDF15	0	False	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	LGALS1	21	True	8.19587352767629	8.41860278268666	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	MAP1B	3	True	5.46228971100791	5.66633156918166	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	PHLDA3	1	True	4.03607016987018	4.20226500307734	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	RPS27L	6	True	6.41971625300219	6.63445552577021	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	S100A6	105	True	10.5076741881775	10.7330248788262	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	TINAGL1	1	True	4.03607016987018	4.20226500307734	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	ZFP36L2	42	True	9.18955221720754	9.41391611184658	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	ZMAT3	0	False	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	aCap	APLN	221	True	8.73007924417049	8.40174039908328	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	aCap	BAX	126	True	7.92600961221837	7.59823884701137	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	aCap	CCN2	206	True	8.62931137752007	8.30102763087868	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
