gene_upper	bulk_log2FC	bulk_FDR	pseudobulk_logFC	pseudobulk_FDR	CellType	both_fdr05	core_gene	locked33
EIF2S3Y	-0.0966795127760932	0.955638017670377	0.189179191339391	0.896014024206589	Cap	False	False	False
EIF3A	-0.0727159293511219	0.270098250256911	0.242413780227393	0.0489769737191121	Cap	False	False	False
EIF3B	0.183961191015485	0.0007039002666451	0.515719894947472	0.0018670982747608	Cap	True	False	False
EIF3C	0.0688767938712439	0.283758563109439	0.447119089636246	0.004655138783308	Cap	False	False	False
EIF3D	0.264618828242949	0.0032408978838534	0.865775671216988	3.49899044477799e-07	Cap	True	False	False
EIF3E	-0.0612077178828247	0.502796846784824	0.0953904729251995	0.564392210488687	Cap	False	False	False
EIF3F	-0.139096323918712	0.009559660959743	-0.303425540730796	0.009284644450956	Cap	True	False	False
EIF3G	0.0561947678527326	0.543895300715032	0.530957236789788	0.0005956085882215	Cap	False	False	False
EIF3H	-0.164819078538553	0.0498531784327685	-0.118253507932059	0.399390963035206	Cap	False	False	False
EIF3I	0.0345394399409091	0.758429095532397	0.785553704726469	9.89843828631405e-08	Cap	False	False	False
EIF3J1	-0.135203985392639	0.266780693872082	0.446937637326915	0.0907365624182648	Cap	False	False	False
EIF3K	-0.131676484725659	0.234271579983448	-0.130111500828629	0.304115810325511	Cap	False	False	False
EIF3L	-0.0351564859896283	0.702100099540256	0.525921494203231	0.0015826256654369	Cap	False	False	False
EIF3M	-0.013907129133598	0.90612852355065	0.164133700547769	0.36114432234931	Cap	False	False	False
EIF4A1	-0.0279987296558733	0.692078394533436	0.608318740122976	1.51047187661243e-06	Cap	False	False	False
EIF4A2	-0.252592904967002	7.47153477716873e-06	0.0514701678490673	0.740797561138484	Cap	False	False	False
EIF4A3	0.0074464722786291	0.932681568237724	-0.0251946504179886	0.903495630924448	Cap	False	False	False
EIF4B	-0.210865840750886	4.31281875252296e-07	-0.417139910536883	0.0044065400525443	Cap	True	False	False
EIF4E	0.0247106918466957	0.808797385206148	0.653012546292782	7.18749637215138e-05	Cap	False	False	False
EIF4E2	0.124323843160323	0.108116509427721	0.43267138057003	0.0027302434577464	Cap	False	False	False
EIF4E3	-0.250473839603956	0.0396597448674495	-0.712293457984424	0.0132981072491896	Cap	True	False	False
EIF4EBP1	0.437167257275262	0.0002515518009065	1.45741090575261	1.1188538789592001e-10	Cap	True	False	False
EIF4EBP2	-0.0426660655779967	0.598767982672073	-0.62692535438961	0.0001662817193397	Cap	False	False	False
EIF4ENIF1	-0.118780670142303	0.136685636501543	-0.655179117562087	0.0012800625912667	Cap	False	False	False
EIF4G1	0.22003490710888	2.02450072181724e-05	0.430707934777772	0.0013053590365573	Cap	True	False	False
EIF4G2	-0.127974089905511	0.0035989410321032	0.186864802837405	0.0747948207262655	Cap	False	False	False
EIF4G3	0.251613042085068	3.49033739990834e-08	0.388836089204391	0.0119890684961783	Cap	True	False	False
EIF4H	-0.0037191521621709	0.946439164413497	-0.199238983911331	0.184997660161186	Cap	False	False	False
EIF5	-0.0478628466535686	0.517871807912519	1.07387076537192	7.437242374559e-09	Cap	False	False	False
EIF5A	0.135077100244091	0.0975479094194741	0.971474427569213	4.66263388144395e-09	Cap	False	False	False
EIF5B	0.0695290298996291	0.254890183902302	0.280027765926166	0.0513863816775995	Cap	False	False	False
