analysis	configuration	method	mean_spearman_across_four_tasks	rank
all_nonempty_subsets	51	cpa_adapted	0.5389488637470665	5.0
all_nonempty_subsets	51	cvae_counterfactual	0.5623867003257563	3.0
all_nonempty_subsets	51	gene_linear	0.09521610661302053	7.0
all_nonempty_subsets	51	pca_latent	0.5263414516039557	6.0
all_nonempty_subsets	51	scgen_adapted	0.5727808094755601	1.0
all_nonempty_subsets	51	sinkhorn_ot	0.5484476553087996	4.0
all_nonempty_subsets	51	vae_latent	0.5704777953598572	2.0
all_nonempty_subsets	52	cpa_adapted	0.442361248332219	5.0
all_nonempty_subsets	52	cvae_counterfactual	0.45021315064001405	4.0
all_nonempty_subsets	52	gene_linear	0.08430441836668982	7.0
all_nonempty_subsets	52	pca_latent	0.4363123990053718	6.0
all_nonempty_subsets	52	scgen_adapted	0.4613194812603989	1.0
all_nonempty_subsets	52	sinkhorn_ot	0.45535152999337136	3.0
all_nonempty_subsets	52	vae_latent	0.4588227936166527	2.0
all_nonempty_subsets	53	cpa_adapted	0.43261359744384636	3.0
all_nonempty_subsets	53	cvae_counterfactual	0.4315288939165596	5.0
all_nonempty_subsets	53	gene_linear	0.08503328903940038	7.0
all_nonempty_subsets	53	pca_latent	0.4179689687670164	6.0
all_nonempty_subsets	53	scgen_adapted	0.44315667143966464	1.0
all_nonempty_subsets	53	sinkhorn_ot	0.4324597302801141	4.0
all_nonempty_subsets	53	vae_latent	0.4403555492279241	2.0
all_nonempty_subsets	54	cpa_adapted	0.4597041772098078	5.0
all_nonempty_subsets	54	cvae_counterfactual	0.46553919252126763	3.0
all_nonempty_subsets	54	gene_linear	0.08710148208707358	7.0
all_nonempty_subsets	54	pca_latent	0.44708078934441964	6.0
all_nonempty_subsets	54	scgen_adapted	0.47764944320099467	1.0
all_nonempty_subsets	54	sinkhorn_ot	0.4638755208865476	4.0
all_nonempty_subsets	54	vae_latent	0.4741113007657147	2.0
all_nonempty_subsets	55	cpa_adapted	0.4065519849903867	4.0
all_nonempty_subsets	55	cvae_counterfactual	0.4157574422698412	2.0
all_nonempty_subsets	55	gene_linear	0.06215370102619257	7.0
all_nonempty_subsets	55	pca_latent	0.37558106544260783	6.0
all_nonempty_subsets	55	scgen_adapted	0.41818507848853953	1.0
all_nonempty_subsets	55	sinkhorn_ot	0.3902374450826903	5.0
all_nonempty_subsets	55	vae_latent	0.41542985847987784	3.0
all_nonempty_subsets	56	cpa_adapted	0.402564040759015	2.0
all_nonempty_subsets	56	cvae_counterfactual	0.401535945228669	3.0
all_nonempty_subsets	56	gene_linear	0.06638346974549056	7.0
all_nonempty_subsets	56	pca_latent	0.3629874907486141	6.0
all_nonempty_subsets	56	scgen_adapted	0.40366745507964163	1.0
all_nonempty_subsets	56	sinkhorn_ot	0.37321069354128555	5.0
all_nonempty_subsets	56	vae_latent	0.39999191562544634	4.0
all_nonempty_subsets	57	cpa_adapted	0.4287279742864409	4.0
all_nonempty_subsets	57	cvae_counterfactual	0.43639087808848137	2.0
all_nonempty_subsets	57	gene_linear	0.06966132493930159	7.0
all_nonempty_subsets	57	pca_latent	0.39244053325399547	6.0
all_nonempty_subsets	57	scgen_adapted	0.43899397294744164	1.0
all_nonempty_subsets	57	sinkhorn_ot	0.4051261019468386	5.0
all_nonempty_subsets	57	vae_latent	0.43539797029218963	3.0
all_nonempty_subsets	58	cpa_adapted	0.4462560127215921	4.0
all_nonempty_subsets	58	cvae_counterfactual	0.47045072336041216	2.0
all_nonempty_subsets	58	gene_linear	0.06195627934879369	7.0
all_nonempty_subsets	58	pca_latent	0.41514103561811255	6.0
all_nonempty_subsets	58	scgen_adapted	0.4715590434502246	1.0
all_nonempty_subsets	58	sinkhorn_ot	0.4382462325194471	5.0
all_nonempty_subsets	58	vae_latent	0.46878834470377073	3.0
all_nonempty_subsets	59	cpa_adapted	0.4357910280527968	4.0
all_nonempty_subsets	59	cvae_counterfactual	0.4529369713182945	2.0
all_nonempty_subsets	59	gene_linear	0.0640853440027916	7.0
all_nonempty_subsets	59	pca_latent	0.3992579269412407	6.0
all_nonempty_subsets	59	scgen_adapted	0.4544392370096193	1.0
all_nonempty_subsets	59	sinkhorn_ot	0.419337940598164	5.0
all_nonempty_subsets	59	vae_latent	0.4517166782993781	3.0
