tf	median_ulm_score	mean_abs_ulm_score	significant_contrasts	direction_consistency	median_fdr	n_targets	median_beta	median_rescue_198	median_rescue_33	positive_rescue_contrasts_33	suggested_intervention	priority_score	external_JCI_hyperoxia_vs_room_air_ulm	external_JCI_hyperoxia_vs_room_air_fdr	external_JCI_p53_EC_deletion_vs_control_hyperoxia_ulm	external_JCI_p53_EC_deletion_vs_control_hyperoxia_fdr	external_JCI_p53_null_vs_control_hyperoxia_ulm	external_JCI_p53_null_vs_control_hyperoxia_fdr	external_hyperoxia_direction_match	network_evidence_class
Sp3	3.082399383338558	2.806568119023479	4	1.0	0.022954915155423805	418	0.009277907881321492	0.0014650559174463895	0.0020506810101168504	6	inhibit	0.009592293242134693	5.2149466456913345	6.207461865415098e-06	-0.05503225967426457	0.9843567609786987	-1.6653436725787163	0.38470959663391113	True	high
Nfe2l2	3.257332230130568	3.99038215607817	6	1.0	0.007054388057440519	203	0.013427656880427689	0.001616869164644097	0.000441419424606182	6	inhibit	0.0035228643905896033	6.582962409567662	8.08591504863898e-09	3.054182831723633	0.04085523635149002	-1.788300469315487	0.3529040813446045	True	high
Nr3c2	7.37476116787969	7.095389163130854	6	1.0	1.7570820106782136e-10	52	0.07362000155828863	0.01542934328924328	0.02204272071142277	6	inhibit	0.3128033633234983	4.405591918008112	0.00015295598132070154	2.2375941951062934	0.1834287792444229	-0.07301974859903838	0.9878000617027283	True	moderate
Elk1	5.596339763743098	5.321381342532644	5	1.0	5.386584689404117e-07	57	0.06174395932015255	0.010262910579920903	0.014459101240784089	6	inhibit	0.1410610512162483	2.3174279674908274	0.05725134164094925	0.8462087462878498	0.8117617964744568	-1.1957594929040518	0.5734677910804749	True	moderate
Klf5	6.295146409775564	4.824725489238827	4	0.8333333333333334	3.4771733594535226e-07	80	0.04455543324967182	0.013631246473867209	0.015881082572124672	5	inhibit	0.1064192553922728	4.148312557817368	0.00038408106775023043	2.1396954966776396	0.20908182859420776	-0.25062810948442404	0.9391233325004578	True	moderate
Hr	5.271599421931352	4.936165069186964	5	1.0	3.238428689655848e-06	96	0.03780861786877874	0.009820210871426094	0.011663939181067673	6	inhibit	0.10555440345029699	5.376877265278983	3.208661382814171e-06	1.5904832912810714	0.4458851218223572	-1.8766253257759105	0.33995315432548523	True	moderate
Id1	6.088043762423041	4.86609764371953	4	1.0	1.6796916302297404e-08	74	0.04323082295158079	0.01143157487558083	0.012663492336734639	6	inhibit	0.10270298370174125	3.829693831115669	0.0010909771081060171	-0.08126278018389752	0.9843567609786987	-1.844853387448267	0.33995315432548523	True	moderate
Relb	4.511801119322337	4.347448354024952	6	1.0	8.050286396610318e-05	55	0.03991085597263119	0.00579532278956485	0.011501485559429592	6	inhibit	0.10000422892836787	3.70792574113395	0.0014423804823309183	0.9313735454559747	0.7817966938018799	-1.6850342832846423	0.37831735610961914	True	moderate
Id2	4.9616383702397195	4.527251285787602	5	1.0	5.384127007346251e-06	66	0.04343429430972228	0.008975348160415675	0.011923021569232417	6	inhibit	0.09896061033793142	5.05028202233889	1.0606314390315674e-05	0.6158696409767581	0.8557642102241516	-2.310952115975256	0.1961018443107605	True	moderate
Gfi1	-3.8924321550117145	3.754697805602395	6	1.0	0.0009643700323067605	54	-0.03393045995783198	0.007710705999815992	0.012901597758415262	6	activate	0.09688320158457313	-1.1087185797628578	0.3895394802093506	-2.0085396403580176	0.2682555317878723	0.8777518930675084	0.6874080896377563	True	moderate
