sample	condition	subtype	gene	raw_count	detected	log2CPM_TMM	log2CPM_library	subset_definition	gene_upper	expression_mean	expression_sd	expression_z	evidence_column	expression_label
BPD+PH 2	BPD+PH	aCap	CCND1	107	TRUE	9.88859554163153	9.82459625804424	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCND1	8.66703892760347	1.5618059247749	0.782143667564915	aCap | PH2	9.9
BPD+PH 2	BPD+PH	aCap	CCNG1	1	TRUE	3.51082614635513	3.41593726297925	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCNG1	2.89417457170636	1.92563367393091	0.320233065612093	aCap | PH2	3.5
BPD+PH 2	BPD+PH	aCap	CDKN1A	11	TRUE	6.6402212588571	6.57305553493313	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CDKN1A	4.99215628803903	2.58638742668289	0.637207308470317	aCap | PH2	6.6
BPD+PH 2	BPD+PH	aCap	COL18A1	33	TRUE	8.2002469605809	8.13542056323863	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	COL18A1	6.01277565689975	3.25185427851633	0.672684295275122	aCap | PH2	8.2
BPD+PH 2	BPD+PH	aCap	ECM1	4	TRUE	5.24426898418511	5.17131126905873	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ECM1	4.01881822676569	1.8735781613545	0.654069727485236	aCap | PH2	5.2
BPD+PH 2	BPD+PH	aCap	GDF15	36	TRUE	8.32472939675719	8.26000215906166	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	GDF15	4.68359960906057	3.84827934803726	0.946170861934361	aCap | PH2	8.3
BPD+PH 2	BPD+PH	aCap	LGALS1	210	TRUE	10.8594587937156	10.7956416966786	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	LGALS1	9.53648214876206	1.66529130409524	0.794441574095842	aCap | PH2	10.9
BPD+PH 2	BPD+PH	aCap	MAP1B	9	TRUE	6.35893203481921	6.29100343100694	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	MAP1B	5.62355016803209	1.15519765811137	0.636585316481157	aCap | PH2	6.4
BPD+PH 2	BPD+PH	aCap	PHLDA3	6	TRUE	5.79632896419501	5.72634442926303	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	PHLDA3	4.27356869849519	2.12368605679954	0.717036428630445	aCap | PH2	5.8
BPD+PH 2	BPD+PH	aCap	RPS27L	56	TRUE	8.95803303049173	8.89369668194423	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	RPS27L	7.73199158030551	1.38000769414943	0.888430880048025	aCap | PH2	9.0
