source	target	ligand	receptor	pair	ages_tested	positive_ages	nominal_ages	median_delta	min_p	min_fdr	priority_score	reported_in_external_p53_cellchat
Cap	Cap-a	Erbb2	H2-Q7	Erbb2–H2-Q7	1	0	0	-0.5041634972967519	0.07792207792207792	0.1455005171819331	0.0	False
Cap-a	Cap	H2-Q7	Erbb2	H2-Q7–Erbb2	1	0	0	-0.5041634972967519	0.07792207792207792	0.13396345774569268	0.0	False
Mural	Cap-a	Col4a4	Itgb1	Col4a4–Itgb1	1	0	0	-0.5043831924161855	0.06060606060606061	0.10623719714628806	0.0	False
Epithelial	Cap-a	Lin7c	Abca1	Lin7c–Abca1	1	0	1	-0.5045472738633241	0.0021645021645021645	0.00885967035035358	0.0	False
Epithelial	Cap-a	Efnb2	Pecam1	Efnb2–Pecam1	1	0	1	-0.5046977414539064	0.0021645021645021645	0.00885967035035358	0.0	False
Myeloid	Cap	Ryk	Fzd3	Ryk–Fzd3	2	0	0	-0.5047717333174773	0.14502164502164502	0.26697166469893746	0.0	False
Cap-a	Cap-a	Lpl	Vldlr	Lpl–Vldlr	1	0	1	-0.5051500686714281	0.004329004329004329	0.012012987012987014	0.0	False
Cap	Cap-a	Calm1	Abca1	Calm1–Abca1	1	0	1	-0.5062564024772804	0.006493506493506494	0.018683589138134594	0.0	False
Myeloid	Cap	Nbl1	Bmp4	Nbl1–Bmp4	2	0	1	-0.5074717579507068	0.008658008658008658	0.02833530106257379	0.0	False
Cap	Cap	Col5a2	Itga1	Col5a2–Itga1	2	0	1	-0.5077267579719815	0.0021645021645021645	0.0073701298701298705	0.0	False
Myeloid	Cap	Sema6d	Plxna1	Sema6d–Plxna1	2	1	1	-0.507790210770638	0.0021645021645021645	0.009606831524639745	0.0	False
Lymphoid	Cap	Calca	Adrb2	Calca–Adrb2	2	1	0	-0.5078048384029117	0.16883116883116883	0.7605225520968315	0.0	False
Fibroblast	Cap-a	Il16	Kcnj15	Il16–Kcnj15	1	0	0	-0.5081670662800972	0.3246753246753247	0.4304620855747372	0.0	False
Cap-a	Cap	Ntn4	Unc5a	Ntn4–Unc5a	1	0	0	-0.5083236702672203	0.17532467532467533	0.2669918913573736	0.0	False
Fibroblast	Cap	Grem1	Bmp5	Grem1–Bmp5	1	0	0	-0.5083873647031423	0.23376623376623376	0.343331087517134	0.0	False
Cap	Cap-a	Wnt4	Fzd6	Wnt4–Fzd6	1	0	0	-0.5084106745844417	0.1645021645021645	0.2718795564748568	0.0	False
Cap-a	Cap-a	Tgm2	Sdc4	Tgm2–Sdc4	1	0	1	-0.5088638687909466	0.004329004329004329	0.012012987012987014	0.0	False
Cap-a	Cap	Inhbb	Acvr1	Inhbb–Acvr1	1	0	0	-0.5093417317884819	0.3463203463203463	0.4765876325509353	0.0	False
Fibroblast	Cap-a	Fgf1	Nrp1	Fgf1–Nrp1	1	0	1	-0.5095349837604517	0.008658008658008658	0.021504469556417608	0.0	False
